myregions,country
Africa,Algeria
Africa,Angola
Africa,Benin
Africa,Botswana
Africa,Burkina Faso
Africa,Burundi
Africa,Cameroon
Africa,Cape Verde
Africa,Central African Republic
Africa,Chad
Africa,Congo
Africa,Cote d'Ivoire
Africa,Democratic Republic of the Congo
Africa,Djibouti
Africa,Egypt
Africa,Equatorial Guinea
Africa,Eritrea
Africa,Ethiopia
Africa,Gabon
Africa,Gambia
Africa,Ghana
Africa,Guinea
Africa,Guinea-Bissau
Africa,Kenya
Africa,Lesotho
Africa,Liberia
Africa,Libyan Arab Jamahiriya
Africa,Madagascar
Africa,Malawi
Africa,Mali
Africa,Mauritania
Africa,Mauritius
Africa,Mayotte
Africa,Morocco
Africa,Mozambique
Africa,Namibia
Africa,Niger
Africa,Nigeria
Africa,Reunion
Africa,Rwanda
Africa,Sao Tome and Principe
Africa,Senegal
Africa,Sierra Leone
Africa,Somalia
Africa,South Africa
Africa,Sudan
Africa,Tunisia
Africa,Uganda
Africa,United Republic of Tanzania
Africa,Western Sahara
Africa,Zambia
Africa,Zimbabwe
Eurasia,?land Islands
Eurasia,Albania
Eurasia,Andorra
Eurasia,Armenia
Eurasia,Austria
Eurasia,Azerbaijan
Eurasia,Bahrain
Eurasia,Belarus
Eurasia,Belgium
Eurasia,Bosnia and Herzegovina
Eurasia,Bulgaria
Eurasia,Croatia
Eurasia,Cyprus
Eurasia,Czech Republic
Eurasia,Denmark
Eurasia,Estonia
Eurasia,Finland
Eurasia,France
Eurasia,Georgia
Eurasia,Germany
Eurasia,Gibraltar
Eurasia,Greece
Eurasia,Greenland
Eurasia,Guernsey
Eurasia,Holy See (Vatican City)
Eurasia,Hungary
Eurasia,Iceland
Eurasia,Iraq
Eurasia,Ireland
Eurasia,Isle of Man
Eurasia,Israel
Eurasia,Italy
Eurasia,Jordan
Eurasia,Kuwait
Eurasia,Latvia
Eurasia,Lebanon
Eurasia,Lithuania
Eurasia,Malta
Eurasia,Montenegro
Eurasia,Netherlands
Eurasia,Norway
Eurasia,Oman
Eurasia,Poland
Eurasia,Portugal
Eurasia,Qatar
Eurasia,Republic of Moldova
Eurasia,Romania
Eurasia,Russia
Eurasia,Saudi Arabia
Eurasia,Serbia
Eurasia,Slovakia
Eurasia,Spain
Eurasia,Svalbard
Eurasia,Sweden
Eurasia,Syrian Arab Republic
Eurasia,Turkey
Eurasia,Ukraine
Eurasia,United Arab Emirates
Eurasia,United Kingdom
Eurasia,Yemen
North America,Anguilla
North America,Antigua and Barbuda
North America,Aruba
North America,Bahamas
North America,Barbados
North America,Belize
North America,Bermuda
North America,British Virgin Islands
North America,Canada
North America,Cayman Islands
North America,Costa Rica
North America,Cuba
North America,Dominican Republic
North America,El Salvador
North America,Grenada
North America,Guadeloupe
North America,Guatemala
North America,Haiti
North America,Honduras
North America,Jamaica
North America,Martinique
North America,Mexico
North America,Montserrat
North America,Netherlands Antilles
North America,Nicaragua
North America,Panama
North America,Puerto Rico
North America,Saint Lucia
North America,Saint Pierre and Miquelon
North America,Trinidad and Tobago
North America,Turks and Caicos Islands
North America,United States
North America,United States Virgin Islands
North Asia,China
North Asia,Hong Kong
North Asia,Japan
North Asia,Kazakhstan
North Asia,"Korea, Democratic People's Republic of"
North Asia,"Korea, Republic of"
North Asia,Kyrgyzstan
North Asia,Mongolia
North Asia,Taiwan
North Asia,Tajikistan
North Asia,Turkmenistan
North Asia,Uzbekistan
Oceania,American Samoa
Oceania,Australia
Oceania,Christmas Island
Oceania,Cocos (Keeling) Islands
Oceania,Comoros
Oceania,Cook Islands
Oceania,Dominica
Oceania,Faroe Islands
Oceania,Fiji
Oceania,French Polynesia
Oceania,Guam
Oceania,Kiribati
Oceania,Marshall Islands
Oceania,Micronesia
Oceania,Nauru
Oceania,New Caledonia
Oceania,New Zealand
Oceania,Niue
Oceania,Norfolk Island
Oceania,Northern Mariana Islands
Oceania,Palau
Oceania,Papua New Guinea
Oceania,Pitcairn Islands
Oceania,Saint Helena
Oceania,Samoa
Oceania,Seychelles
Oceania,Solomon Islands
Oceania,Timor-Leste
Oceania,Tokelau
Oceania,Tonga
Oceania,Tuvalu
Oceania,United States Minor Outlying Islands
Oceania,Vanuatu
Oceania,Wallis and Futuna Islands
South America,Argentina
South America,Bolivia
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,Falkland Islands (Malvinas)
South America,French Guiana
South America,Guyana
South America,Paraguay
South America,Peru
South America,Suriname
South America,Uruguay
South America,Venezuela
South Asia,Afghanistan
South Asia,Bangladesh
South Asia,Bhutan
South Asia,Brunei Darussalam
South Asia,Burma
South Asia,Cambodia
South Asia,India
South Asia,Indonesia
South Asia,Iran (Islamic Republic of)
South Asia,Lao People's Democratic Republic
South Asia,Malaysia
South Asia,Maldives
South Asia,Nepal
South Asia,Pakistan
South Asia,Philippines
South Asia,Sri Lanka
South Asia,Thailand
South Asia,Viet Nam
North Asia,Macau
Oceania,Micronesia
North America,Saint Barthelemy
North America,Saint Kitts and Nevis
North America,Saint Martin
North America,Saint Vincent and the Grenadines
South Asia,Singapore
Africa,Togo
Eurasia,Jersey
Africa,Swaziland
Eurasia,The former Yugoslav Republic of Macedonia
